frame,track,score,x,y
386,1702,0.0323,1551.2,0.6,0.250,True,0
387,1715,0.0273,629.9,9.5,0.250,True,0
388,1713,0.0387,101.9,6.6,0.250,True,1
389,1713,0.0337,101.3,5.8,0.250,True,0
390,1722,0.0512,124.2,14.8,0.250,True,0
391,1722,0.0381,124.7,14.6,0.250,True,0
392,1727,0.0179,5.8,108.3,0.250,True,0
393,1737,0.0407,853.6,154.6,0.250,True,0
394,1737,0.0469,852.7,154.2,0.250,True,0
395,1737,0.0324,852.5,154.7,0.250,True,0
396,1752,0.0823,1355.9,0.4,0.250,True,0
397,1752,0.0716,1355.0,0.5,0.250,True,0
398,1405,0.0207,1142.4,373.7,0.250,True,1
399,1764,0.0216,28.7,10.4,0.250,True,0
400,1764,0.0382,28.5,10.0,0.250,True,0
401,1760,0.0010,2040.7,3.1,0.250,True,0
402,1772,0.0499,1970.7,11.4,0.250,True,0
403,1772,0.0379,1970.1,11.0,0.250,True,0
404,1404,0.0252,664.9,285.2,0.250,True,1
405,1786,0.0411,1058.5,119.0,0.250,True,0
406,1786,0.0383,1057.5,118.9,0.250,True,0
407,1784,0.0083,1028.1,105.5,0.250,True,0
408,1796,0.0468,1360.0,5.9,0.250,True,1
409,1796,0.0361,1359.2,5.6,0.250,True,0
410,1405,0.0760,1149.0,360.2,0.250,True,1
411,1405,0.0424,1152.6,357.8,0.250,True,1
412,1809,0.0280,1597.4,35.7,0.250,True,0
413,1814,0.0130,1632.3,160.9,0.250,True,0
414,1820,0.0500,1676.3,142.4,0.250,True,0
415,1820,0.0377,1676.7,142.1,0.250,True,0
416,1822,0.0295,1157.4,210.4,0.250,True,1
417,1840,0.0597,1189.5,412.9,0.250,True,1
418,1844,0.0556,1178.8,526.6,0.250,True,1
419,1838,0.0425,1134.6,320.1,0.250,True,1
420,1849,0.0695,1626.7,4.9,0.250,True,1
421,1849,0.0606,1627.1,5.2,0.250,True,0
422,1849,0.0393,1625.8,5.5,0.250,True,0
423,1852,0.0364,1019.8,0.8,0.250,True,0
424,1840,0.0495,1190.4,412.7,0.250,True,1
425,1840,0.0420,1191.2,412.3,0.250,True,0
426,1858,0.0441,535.0,22.4,0.250,True,0
427,1858,0.0469,535.0,22.2,0.250,True,0
428,1858,0.0323,534.7,21.5,0.250,True,0
429,1870,0.0440,241.6,33.0,0.250,True,0
430,1870,0.0379,241.1,33.0,0.250,True,0
431,1869,0.0189,1236.0,26.2,0.250,True,0
432,1880,0.0491,1320.3,0.9,0.250,True,0
433,1838,0.0422,1137.8,324.8,0.250,True,1
434,1838,0.0343,1138.5,325.4,0.250,True,0
435,1885,0.0547,1574.4,1.8,0.250,True,0
436,1885,0.0501,1575.1,1.7,0.250,True,0
437,1885,0.0346,1574.2,0.4,0.250,True,0
438,1896,0.0315,782.7,6.9,0.250,True,0
439,1896,0.0382,783.9,7.0,0.250,True,0
440,1405,0.0044,1154.4,419.0,0.250,True,0
441,1911,0.0364,1693.6,159.1,0.250,True,0
442,1911,0.0380,1693.6,159.5,0.250,True,0
443,1907,0.0127,1678.5,134.2,0.250,True,0
444,1920,0.0329,953.5,18.2,0.250,True,0
445,1920,0.0381,953.6,19.8,0.250,True,0
446,1838,0.0167,1134.8,348.4,0.250,True,0
447,1926,0.0273,237.6,28.1,0.250,True,0
448,1928,0.0375,206.1,43.2,0.250,True,0
449,1843,0.0159,1126.5,464.3,0.250,True,1
450,1945,0.0398,1165.3,10.6,0.250,True,0
451,1941,0.0385,1970.7,5.3,0.250,True,1
452,1941,0.0395,1970.5,6.0,0.250,True,0
453,1941,0.0258,1971.8,5.3,0.250,True,0
454,1838,0.0253,1135.2,350.3,0.250,True,1
455,1405,0.0589,1145.3,407.2,0.250,True,1
